"Time (ms)","Recording (a.u.)"
1.468805637E1,9.285014123E-2
1.470889049E1,7.746697962E-2
1.472972461E1,6.288148463E-2
1.475055873E1,5.150913447E-2
1.477139286E1,4.254703596E-2
1.479222698E1,3.512322903E-2
1.481306110E1,2.962034941E-2
1.483389522E1,2.428432368E-2
1.485472935E1,1.707126386E-2
1.487556347E1,9.802518412E-3
1.489639759E1,2.917481819E-3
1.491723171E1,-3.505561501E-3
1.493806584E1,-6.802034564E-3
1.495889996E1,-8.356042206E-3
1.497973408E1,-7.791656535E-3
1.500056820E1,-5.598368123E-3
1.502140233E1,-4.955805838E-3
1.504223645E1,-6.113690324E-3
1.506307057E1,-9.268715978E-3
1.508390469E1,-1.319132186E-2
1.510473882E1,-1.763536409E-2
1.512557294E1,-2.155295759E-2
1.514640706E1,-2.533209138E-2
1.516724118E1,-3.077683598E-2
1.518807531E1,-3.635898232E-2
1.520890943E1,-4.370942712E-2
1.522974355E1,-5.276186019E-2
1.525057767E1,-6.205160916E-2
1.527141180E1,-7.147765160E-2
1.529224592E1,-8.009082824E-2
1.531308004E1,-8.754353225E-2
1.533391416E1,-9.219360352E-2
1.535474829E1,-9.548149258E-2
1.537558241E1,-9.875626862E-2
1.539641653E1,-1.021790802E-1
1.541725065E1,-1.065349728E-1
1.543808478E1,-1.103104651E-1
1.545891890E1,-1.140558720E-1
1.547975302E1,-1.181122139E-1
1.550058714E1,-1.222749427E-1
1.552142127E1,-1.268308461E-1
1.554225539E1,-1.310947388E-1
1.556308951E1,-1.339364052E-1
1.558392363E1,-1.346023083E-1
1.560475776E1,-1.335985661E-1
1.562559188E1,-1.300334930E-1
1.564642600E1,-1.252293289E-1
1.566726012E1,-1.191086620E-1
1.568809425E1,-1.092712507E-1
1.570892837E1,-9.724248946E-2
1.572976249E1,-8.260001242E-2
1.575059661E1,-6.565311551E-2
1.577143074E1,-4.791231081E-2
1.579226486E1,-2.930057794E-2
1.581309898E1,-1.035936363E-2
1.583393310E1,8.986320347E-3
1.585476723E1,2.841591462E-2
1.587560135E1,4.873223603E-2
1.589643547E1,6.926818192E-2
1.591726959E1,8.958674967E-2
1.593810372E1,1.102761477E-1
1.595893784E1,1.287781596E-1
1.597977196E1,1.446666420E-1
1.600060608E1,1.578643918E-1
1.602144021E1,1.678909361E-1
1.604227433E1,1.764886677E-1
1.606310845E1,1.841358840E-1
1.608394257E1,1.906434000E-1
1.610477670E1,1.962817311E-1
1.612561082E1,2.002847493E-1
1.614644494E1,2.014118731E-1
1.616727906E1,2.002305090E-1
1.618811319E1,1.972472966E-1
1.620894731E1,1.921123564E-1
1.622978143E1,1.853212714E-1
1.625061555E1,1.766193211E-1
1.627144968E1,1.656267047E-1
1.629228380E1,1.531592757E-1
1.631311792E1,1.391902566E-1
1.633395204E1,1.231686771E-1
1.635478617E1,1.057885811E-1
1.637562029E1,8.714436740E-2
